name,status,value,limit,message
mesh_validation,PASS,PASS,PASS,Mesh validation passed.
boundary_has_fixed_dofs,PASS,12,> 0,At least one fixed dof is required to constrain the model.
boundary_has_free_dofs,PASS,21,> 0,At least one free dof is required to solve the model.
matrix:stiffness:finite_norm,PASS,680046448299.0713,finite,Matrix norm must be finite.
matrix:stiffness:symmetry,PASS,1.635426249551935e-17,"<= 1e-9 PASS, <= 1e-8 WARNING",Conservative mechanical matrices are expected to be symmetric.
matrix:reduced_stiffness:finite_norm,PASS,616315776882.5322,finite,Matrix norm must be finite.
matrix:reduced_stiffness:symmetry,PASS,0.0,"<= 1e-9 PASS, <= 1e-8 WARNING",Conservative mechanical matrices are expected to be symmetric.
matrix:reduced_stiffness:condition_estimate,PASS,245.2909120029517,"<= 1e12 PASS, <= 1e16 WARNING",High condition estimates indicate numerical fragility.
matrix:reduced_stiffness:positive_definite,PASS,True,true,Reduced stiffness/mass matrices should be positive definite after constraints.
element:0:TET4:positive_volume,PASS,0.16666666666666666,> 1e-14,Solid element corner volume must be positive.
element:0:TET4:corner_quality,PASS,0.7698003589195013,">= 0.05 PASS, >= 0.01 WARNING",Low tetrahedral quality can degrade conditioning and stress accuracy.
element:0:TET4:local_stiffness:finite_norm,PASS,238918606625.1768,finite,Matrix norm must be finite.
element:0:TET4:local_stiffness:symmetry,PASS,0.0,"<= 1e-9 PASS, <= 1e-8 WARNING",Conservative mechanical matrices are expected to be symmetric.
element:1:WEDGE6:local_stiffness:finite_norm,PASS,319445739713.8077,finite,Matrix norm must be finite.
element:1:WEDGE6:local_stiffness:symmetry,PASS,0.0,"<= 1e-9 PASS, <= 1e-8 WARNING",Conservative mechanical matrices are expected to be symmetric.
element:2:HEX8:local_stiffness:finite_norm,PASS,362046151993.87213,finite,Matrix norm must be finite.
element:2:HEX8:local_stiffness:symmetry,PASS,0.0,"<= 1e-9 PASS, <= 1e-8 WARNING",Conservative mechanical matrices are expected to be symmetric.
post:0:TET4:finite_calculation_displacement,PASS,True,all finite,Recovered post-processing values must be finite.
post:0:TET4:finite_strain,PASS,True,all finite,Recovered post-processing values must be finite.
post:0:TET4:finite_stress,PASS,True,all finite,Recovered post-processing values must be finite.
post:0:TET4:finite_principal_strain,PASS,True,all finite,Recovered post-processing values must be finite.
post:0:TET4:finite_principal_stress,PASS,True,all finite,Recovered post-processing values must be finite.
post:0:TET4:finite_deviatoric_stress,PASS,True,all finite,Recovered post-processing values must be finite.
post:0:TET4:von_mises_nonnegative,PASS,10596.578814904882,>= 0,Von Mises stress must be finite and non-negative.
post:0:TET4:ip0:finite_strain,PASS,True,all finite,Recovered post-processing values must be finite.
post:0:TET4:ip0:finite_stress,PASS,True,all finite,Recovered post-processing values must be finite.
